home_team,away_team,Attendance,Date
Italy,Ecuador,31081,2002-06-03
Argentina,Nigeria,34050,2002-06-02
Paraguay,South Africa,25186,2002-06-02
England,Sweden,52721,2002-06-02
Spain,Slovenia,28588,2002-06-02
Republic of Ireland,Cameroon,33679,2002-06-01
Uruguay,Denmark,30157,2002-06-01
Germany,Saudi Arabia,32218,2002-06-01
France,Senegal,62561,2002-05-31
Brazil,France,80000,1998-07-12
Netherlands,Croatia,44000,1998-07-11
France,Croatia,80000,1998-07-08
Brazil,Netherlands,60000,1998-07-07
Netherlands,Argentina,60000,1998-07-04
Germany,Croatia,43300,1998-07-04
Italy,France,80000,1998-07-03
Brazil,Denmark,49500,1998-07-03
Romania,Croatia,31800,1998-06-30
Argentina,England,30600,1998-06-30
Germany,Mexico,29800,1998-06-29
Netherlands,FR Yugoslavia,33000,1998-06-29
France,Paraguay,31800,1998-06-28
Nigeria,Denmark,77000,1998-06-28
Italy,Norway,55000,1998-06-27
Brazil,Chile,45500,1998-06-27
Argentina,Croatia,31800,1998-06-26
Japan,Jamaica,39100,1998-06-26
Romania,Tunisia,80000,1998-06-26
Colombia,England,42000,1998-06-26
Netherlands,Mexico,30600,1998-06-25
Belgium,Korea Republic,45500,1998-06-25
United States,FR Yugoslavia,38500,1998-06-25
Germany,IR Iran,35500,1998-06-25
South Africa,Saudi Arabia,31800,1998-06-24
France,Denmark,39100,1998-06-24
Spain,Bulgaria,41275,1998-06-24
Nigeria,Paraguay,33400,1998-06-24
Italy,Austria,80000,1998-06-23
Chile,Cameroon,39500,1998-06-23
Brazil,Norway,57000,1998-06-23
Scotland,Morocco,36000,1998-06-23
Colombia,Tunisia,35500,1998-06-22
Romania,England,33140,1998-06-22
Germany,FR Yugoslavia,41275,1998-06-21
Argentina,Jamaica,45500,1998-06-21
United States,IR Iran,43300,1998-06-21
Japan,Croatia,35500,1998-06-20
Belgium,Mexico,31800,1998-06-20
Netherlands,Korea Republic,55000,1998-06-20
Nigeria,Bulgaria,48000,1998-06-19
Spain,Paraguay,36000,1998-06-19
South Africa,Denmark,33500,1998-06-18
France,Saudi Arabia,80000,1998-06-18
Chile,Austria,36000,1998-06-17
Italy,Cameroon,35500,1998-06-17
Scotland,Norway,31800,1998-06-16
Brazil,Morocco,38500,1998-06-16
England,Tunisia,54587,1998-06-15
Romania,Colombia,43300,1998-06-15
Germany,United States,49000,1998-06-15
Argentina,Japan,33500,1998-06-14
FR Yugoslavia,IR Iran,36000,1998-06-14
Jamaica,Croatia,38100,1998-06-14
Spain,Nigeria,38000,1998-06-13
Korea Republic,Mexico,39100,1998-06-13
Netherlands,Belgium,77000,1998-06-13
Paraguay,Bulgaria,27650,1998-06-12
Saudi Arabia,Denmark,38100,1998-06-12
France,South Africa,55000,1998-06-12
Italy,Chile,35200,1998-06-11
Cameroon,Austria,36500,1998-06-11
Brazil,Scotland,80000,1998-06-10
Morocco,Norway,29750,1998-06-10
Brazil,Italy,94194,1994-07-17
Sweden,Bulgaria,91500,1994-07-16
Bulgaria,Italy,74110,1994-07-13
Sweden,Brazil,91856,1994-07-13
Bulgaria,Germany,72000,1994-07-10
Romania,Sweden,83500,1994-07-10
Italy,Spain,53400,1994-07-09
Netherlands,Brazil,63500,1994-07-09
Nigeria,Italy,54367,1994-07-05
Mexico,Bulgaria,71030,1994-07-05
Netherlands,Republic of Ireland,61355,1994-07-04
Brazil,United States,84147,1994-07-04
Saudi Arabia,Sweden,60277,1994-07-03
Romania,Argentina,90469,1994-07-03
Germany,Belgium,60246,1994-07-02
Spain,Switzerland,53121,1994-07-02
Greece,Nigeria,53001,1994-06-30
Argentina,Bulgaria,63998,1994-06-30
Morocco,Netherlands,60578,1994-06-29
Belgium,Saudi Arabia,52959,1994-06-29
Italy,Mexico,52535,1994-06-28
Republic of Ireland,Norway,72404,1994-06-28
Russia,Cameroon,74914,1994-06-28
Brazil,Sweden,77217,1994-06-28
Germany,Korea Republic,63998,1994-06-27
Bolivia,Spain,63089,1994-06-27
Bulgaria,Greece,63160,1994-06-26
United States,Romania,93869,1994-06-26
Switzerland,Colombia,83401,1994-06-26
Belgium,Netherlands,62387,1994-06-25
Saudi Arabia,Morocco,76322,1994-06-25
Argentina,Nigeria,54453,1994-06-25
Mexico,Republic of Ireland,60790,1994-06-24
Brazil,Cameroon,83401,1994-06-24
Sweden,Russia,71528,1994-06-24
Italy,Norway,74624,1994-06-23
Korea Republic,Bolivia,54453,1994-06-23
Romania,Switzerland,61428,1994-06-22
United States,Colombia,93869,1994-06-22
Argentina,Greece,54456,1994-06-21
Germany,Spain,63113,1994-06-21
Nigeria,Bulgaria,44132,1994-06-21
Brazil,Russia,81061,1994-06-20
Netherlands,Saudi Arabia,50535,1994-06-20
Belgium,Morocco,61219,1994-06-19
Norway,Mexico,52395,1994-06-19
Cameroon,Sweden,93194,1994-06-19
United States,Switzerland,73425,1994-06-18
Italy,Republic of Ireland,75338,1994-06-18
Colombia,Romania,91856,1994-06-18
Germany,Bolivia,63117,1994-06-17
Spain,Korea Republic,56247,1994-06-17
West Germany,Argentina,73603,1990-07-08
Italy,England,51426,1990-07-07
West Germany,England,62628,1990-07-04
Italy,Argentina,59978,1990-07-03
West Germany,Czechoslovakia,73347,1990-07-01
England,Cameroon,55205,1990-07-01
Yugoslavia,Argentina,38971,1990-06-30
Italy,Republic of Ireland,73303,1990-06-30
Spain,Yugoslavia,35500,1990-06-26
England,Belgium,34520,1990-06-26
Republic of Ireland,Romania,31818,1990-06-25
Italy,Uruguay,73303,1990-06-25
Brazil,Argentina,61381,1990-06-24
West Germany,Netherlands,74559,1990-06-24
Cameroon,Colombia,50026,1990-06-23
Czechoslovakia,Costa Rica,47673,1990-06-23
Belgium,Spain,35950,1990-06-21
Korea Republic,Uruguay,29039,1990-06-21
Republic of Ireland,Netherlands,33288,1990-06-21
England,Egypt,34959,1990-06-21
Sweden,Costa Rica,30223,1990-06-20
Brazil,Scotland,62502,1990-06-20
West Germany,Colombia,72510,1990-06-19
Yugoslavia,United Arab Emirates,27833,1990-06-19
Austria,United States,34857,1990-06-19
Italy,Czechoslovakia,73303,1990-06-19
Argentina,Romania,52733,1990-06-18
Cameroon,Soviet Union,37307,1990-06-18
Republic of Ireland,Egypt,33288,1990-06-17
Belgium,Uruguay,33759,1990-06-17
Korea Republic,Spain,32733,1990-06-17
Brazil,Costa Rica,58007,1990-06-16
England,Netherlands,35267,1990-06-16
Sweden,Scotland,31823,1990-06-16
Austria,Czechoslovakia,38962,1990-06-15
West Germany,United Arab Emirates,71169,1990-06-15
Yugoslavia,Colombia,32257,1990-06-14
Cameroon,Romania,38687,1990-06-14
Italy,United States,73423,1990-06-14
Uruguay,Spain,35713,1990-06-13
Argentina,Soviet Union,55759,1990-06-13
Belgium,Korea Republic,32790,1990-06-12
Netherlands,Egypt,33288,1990-06-12
Costa Rica,Scotland,30867,1990-06-11
England,Republic of Ireland,35238,1990-06-11
United States,Czechoslovakia,33266,1990-06-10
West Germany,Yugoslavia,74765,1990-06-10
Brazil,Sweden,62628,1990-06-10
United Arab Emirates,Colombia,30791,1990-06-09
Soviet Union,Romania,42907,1990-06-09
Italy,Austria,73303,1990-06-09
Argentina,Cameroon,73780,1990-06-08
Argentina,West Germany,114600,1986-06-29
France,Belgium,21000,1986-06-28
France,West Germany,45000,1986-06-25
Argentina,Belgium,114500,1986-06-25
Argentina,England,114580,1986-06-22
Spain,Belgium,45000,1986-06-22
Brazil,France,65000,1986-06-21
West Germany,Mexico,41700,1986-06-21
England,Paraguay,98728,1986-06-18
Denmark,Spain,38500,1986-06-18
Italy,France,70000,1986-06-17
Morocco,West Germany,19800,1986-06-17
Brazil,Poland,45000,1986-06-16
Argentina,Uruguay,26000,1986-06-16
Mexico,Bulgaria,114580,1986-06-15
Soviet Union,Belgium,32277,1986-06-15
Scotland,Uruguay,20000,1986-06-13
Denmark,West Germany,36000,1986-06-13
Algeria,Spain,23980,1986-06-12
Northern Ireland,Brazil,51000,1986-06-12
Paraguay,Belgium,16000,1986-06-11
Iraq,Mexico,103763,1986-06-11
England,Poland,22700,1986-06-11
Portugal,Morocco,28000,1986-06-11
Argentina,Bulgaria,65000,1986-06-10
Korea Republic,Italy,20000,1986-06-10
Soviet Union,Canada,14200,1986-06-09
Hungary,France,31420,1986-06-09
West Germany,Scotland,30000,1986-06-08
Iraq,Belgium,20000,1986-06-08
Denmark,Uruguay,26500,1986-06-08
Mexico,Paraguay,114600,1986-06-07
Northern Ireland,Spain,28000,1986-06-07
Poland,Portugal,19915,1986-06-07
Brazil,Algeria,48000,1986-06-06
Hungary,Canada,13800,1986-06-06
England,Morocco,20200,1986-06-06
Italy,Argentina,32000,1986-06-05
France,Soviet Union,36540,1986-06-05
Korea Republic,Bulgaria,45000,1986-06-05
Paraguay,Iraq,24000,1986-06-04
Uruguay,West Germany,30500,1986-06-04
Scotland,Denmark,18000,1986-06-04
Belgium,Mexico,110000,1986-06-03
Algeria,Northern Ireland,22000,1986-06-03
Portugal,England,23000,1986-06-03
Soviet Union,Hungary,16500,1986-06-02
Argentina,Korea Republic,60000,1986-06-02
Morocco,Poland,19900,1986-06-02
Spain,Brazil,35748,1986-06-01
Canada,France,65500,1986-06-01
Bulgaria,Italy,96000,1986-05-31
Italy,West Germany,90000,1982-07-11
Poland,France,28000,1982-07-10
Poland,Italy,50000,1982-07-08
West Germany,France,70000,1982-07-08
Italy,Brazil,44000,1982-07-05
Spain,England,75000,1982-07-05
France,Northern Ireland,37000,1982-07-04
Poland,Soviet Union,65000,1982-07-04
Argentina,Brazil,44000,1982-07-02
West Germany,Spain,90089,1982-07-02
Austria,Northern Ireland,20000,1982-07-01
Belgium,Soviet Union,45000,1982-07-01
Italy,Argentina,43000,1982-06-29
West Germany,England,75000,1982-06-29
